"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",749.742,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Eagle","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Goat Lake","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Hydro",15831,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Goat Lake","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Oil",185,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Gas",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Coal",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Hydro",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Wind",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Solar",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Storage",NA,"Coastal"
2011,"Haines","Southeast","EIA, PCE","Final","Other",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Oil",95,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Gas",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Coal",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Hydro",3000.12,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Wind",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Solar",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Storage",NA,"Coastal"
2011,"Skagway","Southeast","EIA, PCE","Final","Other",NA,"Coastal"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",83.3,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Healy Lake","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Hollis","Southeast","PCE","Final","Oil",-12.348,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Gas",NA,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Coal",NA,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Hydro",NA,"Coastal"
