"aea_region","year","acep_region","prime_mover","capacity"
"Yukon-Koyukuk/Upper Tanana",2018,"Rural Remote","Utility Solar",0.1536
"Yukon-Koyukuk/Upper Tanana",2018,"Rural Remote","Rooftop Solar",0
"Yukon-Koyukuk/Upper Tanana",2018,"Rural Remote","Storage",0
"Yukon-Koyukuk/Upper Tanana",2018,"Rural Remote","Landfill Gas",0
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Fossil Turbines",0
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Recip Engines",26.94
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Hydro",0
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Wind",0
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Utility Solar",0.1536
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Rooftop Solar",0
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Storage",0.25
"Yukon-Koyukuk/Upper Tanana",2021,"Rural Remote","Landfill Gas",0
